volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
239501,49,1,1821,7,3,360,540,1817,1,7,1,1,0,-1,438,80,0,518,1843,610,213,211,0,240,5,680,2,610,2,340,2,0,21,239502,26,3,1,1,0,1,0
239551,37,2,1845,3,1,238,680,1851,1,7,2,1,0,-1,151,33,14,198,1872,0,210,321,0,410,3,540,6,540,6,210,7,2,26,239552,21,3,1,0,0,1,44
239601,49,3,1836,6,1,320,410,1839,2,3,2,2,0,-1,0,173,0,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239602,-1,-1,-1,-1,-1,-1,-1
239651,3,3,1854,8,3,360,540,1836,3,8,3,0,0,-1,318,0,0,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239652,-1,-1,-1,-1,-1,-1,-1
239701,26,1,1837,1,1,360,540,1838,1,8,1,0,0,-1,177,55,0,232,1865,0,610,540,0,370,5,410,5,540,7,210,7,2,28,239702,27,3,1,0,0,1,0
239751,20,1,1838,1,3,190,610,-1,-1,-1,0,0,0,-1,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239752,-1,-1,-1,-1,-1,-1,-1
239801,49,2,1847,2,1,230,650,1849,3,1,2,0,0,-1,0,58,87,145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239802,-1,-1,-1,-1,-1,-1,-1
239851,42,3,1823,7,1,230,650,1829,1,7,1,2,0,-1,57,312,26,395,1869,0,540,650,0,442,2,610,2,260,5,610,5,3,45,239852,39,3,1,0,0,1,150
239901,44,1,1839,1,1,190,220,1851,5,1,3,0,0,-1,36,57,42,136,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239902,-1,-1,-1,-1,-1,-1,-1
239951,43,5,1809,1,1,190,610,1810,1,1,1,0,1,2,52,57,38,147,1838,212,0,310,0,540,5,540,5,610,7,210,7,0,28,239952,27,3,1,0,0,0,0
