obs,pop,buurt,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J50-h,667,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K50-h,1603,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L50-h,2118,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M50-h,1546,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N50-h,2101,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O50-h,57,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P50-h,17,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q50-h,39,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R50-h,14,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F75-h,601,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G75-h,1,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H75-h,1,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J75-h,1645,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K75-h,3342,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L75-h,3746,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M75-h,3340,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N75-h,3742,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O75-h,2,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P75-h,4,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q75-h,49,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R75-h,11,Buurt E.E,https://adamlink.nl/geo/district/buurt-ee/110
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F51-h,334,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G51-h,6,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H51-h,4,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J51-h,574,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K51-h,1202,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L51-h,1500,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M51-h,1186,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N51-h,1484,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O51-h,16,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P51-h,16,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q51-h,29,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R51-h,7,Buurt F,https://adamlink.nl/geo/district/buurt-f/121
