rij,cel,obs,pop,,,,,
180,I180,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I180-h,1,180,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Burgerziekenhuis,Kom
181,I181,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I181-h,1,181,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Pastorie der Alg. Hulpkerk,Kom
182,I182,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I182-h,350,182,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Overige huizen,Kom
183,I183,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I183-h,1,183,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,St. Andrieshofje,Kom
184,I184,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I184-h,1,184,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,"Christ. Geref. Wees-, Oude Mannen- en Vrouwenhuis",Kom
185,I185,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I185-h,1,185,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,Hamer- en Bouwershof,Kom
186,I186,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I186-h,475,186,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,Overige huizen,Kom
187,I187,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I187-h,1,187,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Zwaardvegershofje,Kom
188,I188,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I188-h,1,188,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Hofje de Zeven Keurvorsten,Kom
189,I189,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I189-h,1,189,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Anslo's Hofje,Kom
190,I190,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I190-h,544,190,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Overige huizen,Kom
191,I191,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I191-h,1,191,Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107,Regenboogs-Liefdehofje,Kom
192,I192,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I192-h,1,192,Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107,Van Beeckshofje,Kom
193,I193,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I193-h,656,193,Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107,Overige huizen,Kom
194,I194,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I194-h,1,194,Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106,Het Suijckerhofje,Kom
195,I195,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I195-h,1,195,Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106,Huiszitten-weduwenhof,Kom
196,I196,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I196-h,671,196,Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106,Overige huizen,Kom
197,I197,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I197-h,1,197,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Lindenhofje,Kom
198,I198,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I198-h,1,198,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Rapenhofje,Kom
