WKT,loc_nr_def
POINT (4.89911795085368 52.3752302307027),100275
POINT (4.89919789537609 52.375206524499),100276
POINT (4.89925219389792 52.3751858476536),100277
POINT (4.89930076262613 52.3751686306098),100278
POINT (4.89939672720646 52.3751373267225),100279
POINT (4.8994627422813 52.3751898501884),100280
POINT (4.89950440307216 52.3752314746624),100281
POINT (4.8995291160096 52.3752615339871),100282
POINT (4.89957252648871 52.3752993338635),100283
POINT (4.89943830627101 52.3749793500394),100284
POINT (4.89935020485974 52.3750719948195),100285
POINT (4.89930748654616 52.3750230507173),100286
POINT (4.89926808353668 52.3749831771925),100287
POINT (4.89923096482141 52.3749426163805),100288
POINT (4.89919841461753 52.3749006810105),100289
POINT (4.89915335109073 52.3748579973687),100290
POINT (4.89906188255315 52.3748945447473),100291
POINT (4.89899560170089 52.3749179588517),100292
POINT (4.89891903408277 52.3749451622798),100295
POINT (4.89885153425976 52.3749758864917),100296
POINT (4.89879613972069 52.3749927268542),100297
POINT (4.89875041285687 52.375010303758),100298
POINT (4.89870357453004 52.3750254376541),100299
