WKT,nummer
"POINT (121803.986914188 487537.727715771)",350
"POINT (121813.017482336 487531.720256273)",351
"POINT (121817.552145312 487529.239756868)",352
"POINT (121825.071159135 487525.247703137)",353
"POINT (121829.295759685 487528.348327394)",354
"POINT (121831.194892042 487531.991560896)",355
"POINT (121833.016508793 487534.472060301)",356
"POINT (121835.535766002 487537.84398918)",357
"POINT (121838.597632456 487541.797285108)",358
"POINT (121829.644579914 487552.68822781)",359
"POINT (121841.000616255 487546.486979296)",360
"POINT (121844.68260756 487550.944126666)",361
"POINT (121846.542982114 487553.579657284)",362
"POINT (121848.635903487 487556.835312754)",363
"POINT (121853.945722527 487571.059426532)",364
"POINT (121857.976534061 487579.973721271)",365
"POINT (121859.759393009 487588.422922371)",366
"POINT (121845.53527923 487514.162971419)",367
"POINT (121853.98448033 487509.512035033)",368
"POINT (121851.81404335 487517.186080069)",369
"POINT (121859.836908615 487519.12397023)",370
"POINT (121862.007345595 487522.612172519)",371
"POINT (121863.557657723 487526.798015265)",372
"POINT (121866.348219554 487531.68149847)",373
"POINT (121868.82871896 487536.564981675)",374
"POINT (121870.921640333 487540.440761996)",375
"POINT (121873.247108526 487543.773933072)",376
"POINT (121875.650092325 487547.727228999)",377
"POINT (121878.053076124 487551.370462501)",378
"POINT (121879.060779008 487554.083508726)",379
"POINT (121880.611091136 487557.261648589)",380
"POINT (121882.161403264 487562.145131794)",381
"POINT (121883.634199786 487567.028614998)",382
"POINT (121884.564387063 487570.6718485)",383
"POINT (121885.572089947 487575.632847311)",384
"POINT (121886.502277224 487580.748877335)",385
"POINT (121880.688606742 487588.65546919)",386
"POINT (121887.354948895 487587.725281913)",387
"POINT (121889.525385874 487593.383921181)",388
"POINT (121891.075698003 487598.810013631)",389
"POINT (121891.928369674 487603.693496835)",390
"POINT (121892.083400886 487607.569277157)",391
"POINT (121882.704012509 487601.290513036)",392
"POINT (121890.300541939 487612.452760361)",393
"POINT (121887.509980108 487619.661711758)",394
"POINT (121884.486871457 487624.467679356)",395
"POINT (121880.998669168 487628.653522103)",396
"POINT (121879.33208363 487632.064208786)",397
"POINT (121876.967857634 487635.203590846)",398
"POINT (121874.332327016 487639.466949199)",399
"POINT (121871.309218365 487643.381487323)",400
"POINT (121868.518656534 487647.993665905)",401
"POINT (121866.115672735 487652.334539865)",402
"POINT (121902.935585785 487492.923695259)",403
"POINT (121910.222052789 487566.757310375)",404
"POINT (121908.284162628 487560.866124287)",405
"POINT (121907.276459745 487556.060156689)",406
"POINT (121906.113725649 487552.184376368)",407
"POINT (121905.028507159 487548.618658473)",408
"POINT (121903.788257456 487545.44051861)",409
"POINT (121902.39297654 487541.487222682)",410
"POINT (121901.230242444 487537.146348722)",411
"POINT (121899.757445922 487532.727959156)",412
"POINT (121898.439680613 487529.937397325)",413
"POINT (121897.509493336 487526.991804281)",414
"POINT (121896.34675924 487523.813664418)",415
"POINT (121895.02899393 487520.402977735)",416
"POINT (121893.323650589 487516.682228627)",417
"POINT (121891.308244822 487510.170917688)",418
"POINT (121889.292839055 487503.504575535)",419
"POINT (121887.354948895 487497.613389447)",420
"POINT (121873.867233377 487502.341841439)",421
"POINT (121865.728094703 487508.155511921)",422
"POINT (121867.588469257 487511.566198603)",423
"POINT (121869.603875024 487515.75204135)",424
"POINT (121872.9370461 487521.488196225)",425
"POINT (121876.19270157 487527.379382313)",426
"POINT (121878.750716582 487531.56522506)",427
"POINT (121880.378544317 487534.433302498)",428
"POINT (121882.161403264 487537.766473574)",429
"POINT (121884.409355851 487541.797285108)",430
"POINT (121886.967370862 487545.905612248)",431
"POINT (121889.137807842 487550.091454995)",432
"POINT (121890.92066679 487554.509844561)",433
"POINT (121893.013588163 487560.16848383)",434
"POINT (121893.94377544 487564.354326576)",435
"POINT (121895.339056356 487568.850231749)",436
"POINT (121897.121915304 487574.663902231)",437
"POINT (121905.106022765 487571.098184335)",438
"POINT (121923.399705881 487602.802067362)",439
"POINT (121921.771878146 487597.918584157)",440
"POINT (121920.531628443 487593.73274141)",441
