"lp","straaturi","year"
100201,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100202,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100203,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100204,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100205,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100206,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100207,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100208,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100209,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100210,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100211,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100212,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100213,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100214,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100215,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100216,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100217,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100218,"https://adamlink.nl/geo/street/oude-brugsteeg/5962",1876
100223,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100224,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100225,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100226,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100227,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100228,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100229,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100230,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100231,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100232,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100233,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100234,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100235,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100236,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100237,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100238,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100239,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100240,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100241,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100242,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100243,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100244,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100245,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100254,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100255,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100256,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100257,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100258,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100259,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100260,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100261,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100262,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100263,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100264,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100265,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100266,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100267,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100268,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100269,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100270,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100271,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100272,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100273,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100274,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100275,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100276,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100277,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100278,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100279,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100280,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100281,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100282,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100283,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100285,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100286,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100287,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100288,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100289,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100290,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100291,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100292,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100295,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100296,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100297,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100298,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100299,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100300,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100301,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100302,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100303,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100304,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100305,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100306,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100307,"https://adamlink.nl/geo/street/lange-niezel/2610",1876
100308,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100309,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100310,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100311,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100312,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100313,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100314,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100315,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100316,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100317,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100318,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100319,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100320,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100321,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100322,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100323,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100324,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100325,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100326,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100327,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100328,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100329,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100330,"https://adamlink.nl/geo/street/heintje-hoekssteeg/1708",1876
100331,"https://adamlink.nl/geo/street/vredenburgersteeg/4837",1876
100334,"https://adamlink.nl/geo/street/vredenburgersteeg/4837",1876
100335,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100336,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100337,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100338,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100339,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100340,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100341,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100342,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100343,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100344,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100345,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
100346,"https://adamlink.nl/geo/street/oudezijds-voorburgwal/3409",1876
